SamAccountName,password,path,GivenName,Surname,Initials,Name,DisplayName,UserPrincipalName,Department,Description,Office,OfficePhone,EmailAddress,StreetAddress,POBox ,City,State,PostalCode,Title,Company
Arnold,Football22!,"OU=Sales,DC=aventurecloud,DC=com",Arnold,A,B,Arnold,Arnold,arnold@aventurecloud.com,Sales,,Mind Space,541-213-5441,arnold@aventurecloud.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Sales Agent,Aventure Cloud
Beiber,Football22!,"OU=Sales,DC=aventurecloud,DC=com",Beiber,B,J,Beiber,Beiber,beiber@aventurecloud.com,Sales,,Mind Space,541-213-5442,beiber@aventurecloud.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Sales Trainee,Aventure Cloud
Cathy,Football22!,"OU=Dev,DC=aventurecloud,DC=com",Cathy,C,J,Cathy,Cathy,cathy@aventurecloud.com,Dev,,Mind Space,541-213-5443,cathy@aventurecloud.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Java Dev,Aventure Cloud
Darrel,Football22!,"OU=Dev,DC=aventurecloud,DC=com",Darrel,D,J,Darrel,Darrel,darrel@aventurecloud.com,Dev,,Mind Space,541-213-5444,darrel@aventurecloud.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Nodejs Dev,Aventure Cloud
Eric,Football22!,"OU=Accounts,DC=aventurecloud,DC=com",Eric,E,J,Eric,Eric,eric@aventurecloud.com,Accounts,,Mind Space,541-213-5445,eric@aventurecloud.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Jr Accountant,Aventure Cloud
Falcon,Football22!,"OU=Accounts,DC=aventurecloud,DC=com",Falcon,F,J,Falcon,Falcon,falcon@aventurecloud.com,Accounts,,Mind Space,541-213-5446,falcon@aventurecloud.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Jr Accountant,Aventure Cloud
Greeshma,Football22!,"OU=IT,DC=aventurecloud,DC=com",Greeshma,G,J,Greeshma,Greeshma,greeshma@aventurecloud.com,IT,,Mind Space,541-213-5447,greeshma@aventurecloud.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Senior Admin,Aventure Cloud
Henry,Football22!,"OU=IT,DC=aventurecloud,DC=com",Henry,H,J,Henry,Henry,henry@aventurecloud.com,IT,,Mind Space,541-213-5448,henry@aventurecloud.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Network admin,Aventure Cloud
Indy,Football22!,"OU=Dev,DC=aventurecloud,DC=com",Indy,I,J,Indy,Indy,indy@aventurecloud.com,Dev,,Mind Space,541-213-5449,indy@aventurecloud.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Oracle Dev,Aventure Cloud
Jacob,Football22!,"OU=Dev,DC=aventurecloud,DC=com",Jacob,J,J,Jacob,Jacob,jacob@aventurecloud.com,Dev,,Mind Space,541-213-5450,jacob@aventurecloud.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,HTMl Dev,Aventure Cloud
